cattype,BEA Category,BEA Category Full,coefname,agg_level,
nipa,    Nonelectric personal care,"      Hair, dental, shaving, and miscellaneous personal care
        products except electrical products",pers_care,4,
nipa,Electric personal care,      Electric appliances for personal care,pers_elec,4,
nipa,      Pets and pet products,      Pets and related products,pet_food,4,
nipa,      Photo. equipment,      Photographic equipment,photo_equip,4,
nipa,      Photo studios,      Photo studios,photo_service,4,
nipa, Photo supplies,      Film and photographic supplies,photo_supply,4,
nipa,,,planes,4,
nipa,Post/delivery services,Postal and delivery services ,post,4,
nipa,      Day care ,      Day care and nursery schools,preschool,4,
nipa,      Prescription drugs ,      Prescription drugs ,prescription,4,
nipa,      Rec. books ,      Recreational books ,rec_book,4,
nipa,Rent,      Rental of tenant-occupied nonfarm housing ,rent,4,
nipa,Maintenance rec. equip.,"      Maintenance and repair of recreational vehicles 
       and sports equipment",repair_rec,4,
nipa,Repair TV and audio equip.,"      Repair of audio-visual, photographic, and information
       processing equipment",repair_tvaudio,4,
nipa,Housing at school,Housing at schools,school_housing,4,
nipa,      Sewing items,      Sewing items,sewing,4,
nipa,      Water transportation,      Water transportation,ship,4,
nipa,     Footwear repair,      Repair and hire of footwear,shoe_repair,4,
nipa,Footwear,      Shoes and other footwear,shoes,4,
nipa,      Small electric appliances,      Small electric household appliances,small_app,4,
nipa,      Social assistance,      Social assistance,soc_assist,4,
nipa,Software and accessories ,      Computer software and accessories,software,4,
nipa,      Spectator sports,      Spectator sports,spec_sport,4,
nipa,Sporting equip.,"      Sporting equipment, supplies, guns, and ammunition",sport_equip,4,
nipa,Misc. printed material,      Stationery and miscellaneous printed materials,stationary,4,
nipa,Taxi,      Taxicabs,taxi,4,
nipa,Telecommunication service,      Telecommunication services,tel_service,4,
nipa,Telephone equip.,      Telephone and facsimile equipment,telephone,4,
nipa,Cinema and other entertainment,"      Motion picture theaters
      Live entertainment, excluding sports
      Museums and libraries",theater,4,
nipa,Tires,Tires,tires,4,
nipa,Tobacco,      Tobacco ,tobacco,4,
nipa,Tools/hardware,"      Tools, hardware, and supplies",tools,4,
nipa,Train,      Railway transportation,train,4,
nipa,Garbage,      Garbage and trash collection,trash,4,
nipa,TV,      Televisions,tv,4,
nipa,Used autos,Used autos,usedautos,4,
nipa,Used light trucks,Used light trucks,usedlighttrucks,4,
nipa,Vet service,      Veterinary and other services for pets,vet_service,4,
nipa,Video discs/other,"      Video cassettes and discs, blank and prerecorded",video_record,4,
nipa,Video rental,      Video media rental,video_rental,4,
nipa,Watches,      Watches,watches,4,
nipa,Water/sewage,      Water supply and sewage maintenance,water,4,
nipa,Window covers,      Window coverings,window_cover,4,
nipa,Women's clothing,      Women's and girls' clothing ,women_cloth,4,
nipa,Food services and accomodations,Food services and accommodations,acc_service,3,
nipa,Clothing,Clothing and footwear,clothing,3,
nipa,Financial services and insurance,Financial services and insurance,fin_service_cat,3,
nipa,Food and beverages at home,Food and beverages purchased for off premises consumption,foodbev_home,3,
nipa,Gasoline and other energy goods,Gasoline and other energy goods,gasoline_cat,3,
nipa,Health care,Health care,health_nipa,3,
nipa,Furnishings,Furnishings and durable household equipment,home_dur,3,
nipa,Housing and utilities,Housing and utilities,house_nipa,3,
nipa,Motor vehicles and parts,Motor Vehicles and parts,mv_parts,3,
nipa,Other durable goods,Other durable goods,other_dur,3,
nipa,Other nondurable goods,Other nondurable goods,other_nondur,3,
nipa,Other services,Other services,other_service,3,
nipa,Recreational goods and vehicles,Recreational goods and vehicles,rec_dur,3,
nipa,Recreation services,Recreation services,rec_service,3,
nipa,Transportation services,Transportation services,transportation,3,
nipa,PCE,PCE,pce,1,
nipa,BEA Durables,BEA Durables,durable_nipa,2,
nipa,BEA Non-durable Good,BEA Non-durable Good,nondurable_nipa,2,
nipa,BEA Service,BEA Service,service_nipa,2,
