DATE,apparel_exp,health_exp
2000-01-01,22.629,74.11041666666667
2000-02-01,22.950666666666667,74.47058333333332
2000-03-01,23.405083333333334,74.87775
2000-04-01,23.2355,75.35825
2000-05-01,23.50508333333333,75.846
2000-06-01,23.28025,76.30133333333333
2000-07-01,23.202916666666667,76.77858333333333
2000-08-01,23.48841666666667,77.222
2000-09-01,23.93925,77.67191666666668
2000-10-01,23.678083333333333,78.08766666666668
2000-11-01,23.80558333333333,78.59725
2000-12-01,23.711583333333333,79.10283333333332
2001-01-01,23.78066666666667,79.96891666666667
2001-02-01,23.500416666666666,80.52166666666668
2001-03-01,22.879083333333334,81.05916666666667
2001-04-01,23.411583333333333,81.57991666666668
2001-05-01,23.210416666666667,82.01166666666667
2001-06-01,22.9775,82.66591666666667
2001-07-01,23.152916666666666,83.22608333333334
2001-08-01,23.332,83.86891666666668
2001-09-01,22.3375,84.43475
2001-10-01,22.996666666666666,84.9895
2001-11-01,23.094833333333334,85.7085
2001-12-01,23.19483333333333,86.529
2002-01-01,23.210416666666667,87.10916666666667
2002-02-01,23.268083333333333,87.68416666666667
2002-03-01,23.317666666666668,88.24225
2002-04-01,23.402416666666667,88.95933333333333
2002-05-01,23.001,89.57616666666667
2002-06-01,23.26383333333333,90.12458333333333
2002-07-01,23.06883333333333,90.67891666666667
2002-08-01,23.10275,91.218
2002-09-01,22.705,91.67633333333333
2002-10-01,23.583583333333333,92.16941666666668
2002-11-01,23.34316666666667,92.51066666666667
2002-12-01,23.56808333333333,92.92291666666667
